config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,l2,2,0.962000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,l2,3,0.937000,0.003344
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,l2,4,0.911000,0.005574
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,l2,5,0.881000,0.012263
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,l2,6,0.865000,0.016722
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,none,0,0.976000,
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,linf,0.05,0.972000,0.002245
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,linf,0.1,0.964000,0.002245
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,linf,0.15,0.949000,0.005612
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,linf,0.2,0.931000,0.006734
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,linf,0.25,0.907000,0.014590
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,linf,0.3,0.867000,0.022447
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,l2,1,0.971000,0.002245
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,l2,2,0.962000,0.003367
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,l2,3,0.948000,0.005612
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,l2,4,0.930000,0.007856
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,l2,5,0.896000,0.020202
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,4,l2,6,0.861000,0.029181
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,5,none,0,0.976000,
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,5,linf,0.05,0.966000,0.000000
