dataset,variant,beta,anchor,metric_mean,metric_std,n_runs
imagenet100,GPB-L,0.1,6.0,0.80698,0.008392377493892909,5
imagenet100,GPB-L,0.1,12.0,0.82866,0.002290851370124229,5
imagenet100,GPB-L,1.0,1.0,0.0103,0.0,5
imagenet100,GPB-L,1.0,6.0,0.62662,0.02711110473588268,5
imagenet100,GPB-L,1.0,12.0,0.834,0.006696267617113304,5
imagenet100,GPB-L,10.0,1.0,0.0103,0.0,5
imagenet100,GPB-L,10.0,6.0,0.6356400000000001,0.017424781203791356,5
imagenet100,GPB-L,10.0,12.0,0.8280799999999999,0.0016084153692376747,5
imagenet100,NCM-learn,,,0.82166,0.003570434147271183,5
imagenet100,NCM-ortho,,1.0,0.8232800000000001,0.005957935884179997,5
imagenet100,NCM-ortho,,6.0,0.8027200000000001,0.004677285537574102,5
imagenet100,NCM-ortho,,12.0,0.7934599999999999,0.0037587231874667256,5
imagenet100,OPB-FF,0.0001,1.0,0.8227599999999999,0.007066328608266081,5
imagenet100,OPB-FF,0.0001,6.0,0.81118,0.004570229753524452,5
imagenet100,OPB-FF,0.0001,12.0,0.80382,0.0036649693041006797,5
imagenet100,OPB-FF,0.001,1.0,0.8286999999999999,0.005720139858430024,5
imagenet100,OPB-FF,0.001,6.0,0.80976,0.003911904906819723,5
imagenet100,OPB-FF,0.001,12.0,0.8026199999999999,0.0020523157651784565,5
imagenet100,OPB-FF,0.01,1.0,0.83382,0.005613109655084258,5
imagenet100,OPB-FF,0.01,6.0,0.81792,0.0060775817559289005,5
imagenet100,OPB-FF,0.01,12.0,0.8087199999999999,0.0035308639169472685,5
imagenet100,OPB-FF,0.1,1.0,0.8356,0.0060066629670724745,5
imagenet100,OPB-FF,0.1,6.0,0.8232799999999999,0.010673190713184122,5
imagenet100,OPB-FF,0.1,12.0,0.8207599999999999,0.000541294744108965,5
imagenet100,OPB-FF,1.0,1.0,0.01008,0.0004919349550499539,5
imagenet100,OPB-FF,1.0,6.0,0.83356,0.006549274769010708,5
imagenet100,OPB-FF,1.0,12.0,0.8428599999999999,0.002399583297158067,5
imagenet100,OPB-FF,10.0,1.0,0.0103,0.0,5
imagenet100,OPB-FF,10.0,6.0,0.7242,0.014213901645923958,5
imagenet100,OPB-FF,10.0,12.0,0.83422,0.0041221353689562664,5
imagenet100,OPB-FS,0.0001,1.0,0.82575,0.0038370995990895432,4
imagenet100,OPB-FS,0.0001,6.0,0.8081400000000001,0.006773699137103736,5
imagenet100,OPB-FS,0.0001,12.0,0.79938,0.007902341425172666,5
imagenet100,OPB-FS,0.001,1.0,0.8245799999999999,0.006754405969439517,5
imagenet100,OPB-FS,0.001,6.0,0.80752,0.003431763395107516,5
imagenet100,OPB-FS,0.001,12.0,0.8055,0.0030959651160825464,5
imagenet100,OPB-FS,0.01,1.0,0.8297000000000001,0.006562392856268229,5
imagenet100,OPB-FS,0.01,6.0,0.8188599999999999,0.005105683108066959,5
