2026-09-06 07:40:31 | Device: cuda
2026-09-06 07:40:31 | Args: {'model': 'adacap', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_adacap/california_mlp_adacap.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_adacap_beta_0.01/train.log', 'no_save': True}
2026-09-06 07:40:31 | ===== Run 1/5 (seed 0) =====
2026-09-06 07:41:11 | Epoch  44/100 | Train Loss -0.0311 | Val Loss 0.0164 MAE 0.4400 R2 0.7190
2026-09-06 07:41:11 | Epoch  45/100 | Train Loss -0.0313 | Val Loss 0.0131 MAE 0.3857 R2 0.7749
2026-09-06 07:41:11 | Epoch  46/100 | Train Loss -0.0312 | Val Loss 0.0130 MAE 0.3860 R2 0.7765
2026-09-06 07:41:11 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 46 (best R2 0.7778 @ Epoch 36)
2026-09-06 07:41:11 | Run 3/5 | Test (best model @ Epoch 36) | Loss 0.0125 MAE 0.3763 R2 0.7751
2026-09-06 07:41:11 | ===== Run 4/5 (seed 3) =====
2026-09-06 07:41:12 | Epoch   1/100 | Train Loss -0.0180 | Val Loss 0.0149 MAE 0.4225 R2 0.7452
2026-09-06 07:41:12 |   Val R2 improved to 0.7452, model saved
2026-09-06 07:41:12 | Epoch   2/100 | Train Loss -0.0195 | Val Loss 0.0148 MAE 0.4155 R2 0.7462
2026-09-06 07:41:12 |   Val R2 improved to 0.7462, model saved
2026-09-06 07:41:12 | Epoch   3/100 | Train Loss -0.0203 | Val Loss 0.0147 MAE 0.4149 R2 0.7489
2026-09-06 07:41:12 |   Val R2 improved to 0.7489, model saved
2026-09-06 07:41:12 | Epoch   4/100 | Train Loss -0.0208 | Val Loss 0.0143 MAE 0.4091 R2 0.7551
2026-09-06 07:41:12 |   Val R2 improved to 0.7551, model saved
2026-09-06 07:41:12 | Epoch   5/100 | Train Loss -0.0216 | Val Loss 0.0143 MAE 0.4100 R2 0.7554
2026-09-06 07:41:12 |   Val R2 improved to 0.7554, model saved
2026-09-06 07:41:13 | Epoch   6/100 | Train Loss -0.0223 | Val Loss 0.0141 MAE 0.4055 R2 0.7586
2026-09-06 07:41:13 |   Val R2 improved to 0.7586, model saved
2026-09-06 07:41:13 | Epoch   7/100 | Train Loss -0.0228 | Val Loss 0.0141 MAE 0.4063 R2 0.7582
2026-09-06 07:41:13 | Epoch   8/100 | Train Loss -0.0232 | Val Loss 0.0138 MAE 0.4021 R2 0.7633
2026-09-06 07:41:13 |   Val R2 improved to 0.7633, model saved
2026-09-06 07:41:14 | Epoch   9/100 | Train Loss -0.0235 | Val Loss 0.0138 MAE 0.4003 R2 0.7640
2026-09-06 07:41:14 |   Val R2 improved to 0.7640, model saved
2026-09-06 07:41:14 | Epoch  10/100 | Train Loss -0.0240 | Val Loss 0.0137 MAE 0.3952 R2 0.7652
2026-09-06 07:41:14 |   Val R2 improved to 0.7652, model saved
2026-09-06 07:41:14 | Epoch  11/100 | Train Loss -0.0241 | Val Loss 0.0136 MAE 0.3972 R2 0.7672
2026-09-06 07:41:14 |   Val R2 improved to 0.7672, model saved
2026-09-06 07:41:14 | Epoch  12/100 | Train Loss -0.0246 | Val Loss 0.0134 MAE 0.3945 R2 0.7701
2026-09-06 07:41:14 |   Val R2 improved to 0.7701, model saved
2026-09-06 07:41:15 | Epoch  13/100 | Train Loss -0.0249 | Val Loss 0.0135 MAE 0.3942 R2 0.7691
2026-09-06 07:41:15 | Epoch  14/100 | Train Loss -0.0252 | Val Loss 0.0132 MAE 0.3904 R2 0.7737
2026-09-06 07:41:15 |   Val R2 improved to 0.7737, model saved
2026-09-06 07:41:15 | Epoch  15/100 | Train Loss -0.0256 | Val Loss 0.0133 MAE 0.3888 R2 0.7716
