config,run,norm,eps,acc
mnist_mlp_opb_beta0.1_scale12,2,l2,1.5,0.8770000338554382
mnist_mlp_opb_beta0.1_scale12,2,l2,2,0.7890000343322754
mnist_mlp_opb_beta0.1_scale12,2,l2,2.5,0.656000018119812
mnist_mlp_opb_beta0.1_scale12,2,l2,3,0.5110000371932983
mnist_mlp_opb_beta0.1_scale12,3,none,0,0.984000027179718
mnist_mlp_opb_beta0.1_scale12,3,linf,0.05,0.937000036239624
mnist_mlp_opb_beta0.1_scale12,3,linf,0.1,0.7760000228881836
mnist_mlp_opb_beta0.1_scale12,3,linf,0.15,0.4870000183582306
mnist_mlp_opb_beta0.1_scale12,3,linf,0.2,0.289000004529953
mnist_mlp_opb_beta0.1_scale12,3,linf,0.25,0.1469999998807907
mnist_mlp_opb_beta0.1_scale12,3,linf,0.3,0.07000000029802322
mnist_mlp_opb_beta0.1_scale12,3,l2,0.5,0.9690000414848328
mnist_mlp_opb_beta0.1_scale12,3,l2,1,0.9390000700950623
mnist_mlp_opb_beta0.1_scale12,3,l2,1.5,0.8820000290870667
mnist_mlp_opb_beta0.1_scale12,3,l2,2,0.796000063419342
mnist_mlp_opb_beta0.1_scale12,3,l2,2.5,0.6420000195503235
mnist_mlp_opb_beta0.1_scale12,3,l2,3,0.4880000352859497
mnist_mlp_opb_beta0.1_scale12,4,none,0,0.9830000400543213
mnist_mlp_opb_beta0.1_scale12,4,linf,0.05,0.9330000281333923
mnist_mlp_opb_beta0.1_scale12,4,linf,0.1,0.7560000419616699
mnist_mlp_opb_beta0.1_scale12,4,linf,0.15,0.45900002121925354
mnist_mlp_opb_beta0.1_scale12,4,linf,0.2,0.25300002098083496
mnist_mlp_opb_beta0.1_scale12,4,linf,0.25,0.1420000046491623
mnist_mlp_opb_beta0.1_scale12,4,linf,0.3,0.0690000057220459
mnist_mlp_opb_beta0.1_scale12,4,l2,0.5,0.9650000333786011
mnist_mlp_opb_beta0.1_scale12,4,l2,1,0.937000036239624
mnist_mlp_opb_beta0.1_scale12,4,l2,1.5,0.8770000338554382
mnist_mlp_opb_beta0.1_scale12,4,l2,2,0.7700000405311584
mnist_mlp_opb_beta0.1_scale12,4,l2,2.5,0.6180000305175781
mnist_mlp_opb_beta0.1_scale12,4,l2,3,0.46000000834465027
mnist_mlp_opb_beta0.1_scale12,5,none,0,0.9800000190734863
mnist_mlp_opb_beta0.1_scale12,5,linf,0.05,0.9340000152587891
mnist_mlp_opb_beta0.1_scale12,5,linf,0.1,0.7410000562667847
mnist_mlp_opb_beta0.1_scale12,5,linf,0.15,0.4690000116825104
mnist_mlp_opb_beta0.1_scale12,5,linf,0.2,0.2600000202655792
mnist_mlp_opb_beta0.1_scale12,5,linf,0.25,0.15300001204013824
mnist_mlp_opb_beta0.1_scale12,5,linf,0.3,0.08500000089406967
mnist_mlp_opb_beta0.1_scale12,5,l2,0.5,0.968000054359436
mnist_mlp_opb_beta0.1_scale12,5,l2,1,0.937000036239624
mnist_mlp_opb_beta0.1_scale12,5,l2,1.5,0.8720000386238098
mnist_mlp_opb_beta0.1_scale12,5,l2,2,0.7730000615119934
mnist_mlp_opb_beta0.1_scale12,5,l2,2.5,0.612000048160553
mnist_mlp_opb_beta0.1_scale12,5,l2,3,0.44700002670288086
mnist_mlp_opb_beta1_scale12,1,none,0,0.9820000529289246
mnist_mlp_opb_beta1_scale12,1,linf,0.05,0.9270000457763672
mnist_mlp_opb_beta1_scale12,1,linf,0.1,0.6360000371932983
mnist_mlp_opb_beta1_scale12,1,linf,0.15,0.37300002574920654
mnist_mlp_opb_beta1_scale12,1,linf,0.2,0.203000009059906
mnist_mlp_opb_beta1_scale12,1,linf,0.25,0.10200000554323196
mnist_mlp_opb_beta1_scale12,1,linf,0.3,0.058000002056360245
mnist_mlp_opb_beta1_scale12,1,l2,0.5,0.9660000205039978
mnist_mlp_opb_beta1_scale12,1,l2,1,0.9330000281333923
mnist_mlp_opb_beta1_scale12,1,l2,1.5,0.859000027179718
mnist_mlp_opb_beta1_scale12,1,l2,2,0.6910000443458557
mnist_mlp_opb_beta1_scale12,1,l2,2.5,0.5060000419616699
mnist_mlp_opb_beta1_scale12,1,l2,3,0.39000001549720764
mnist_mlp_opb_beta1_scale12,2,none,0,0.9820000529289246
mnist_mlp_opb_beta1_scale12,2,linf,0.05,0.9320000410079956
mnist_mlp_opb_beta1_scale12,2,linf,0.1,0.6840000152587891
mnist_mlp_opb_beta1_scale12,2,linf,0.15,0.37300002574920654
mnist_mlp_opb_beta1_scale12,2,linf,0.2,0.21300001442432404
mnist_mlp_opb_beta1_scale12,2,linf,0.25,0.11700000613927841
mnist_mlp_opb_beta1_scale12,2,linf,0.3,0.06700000166893005
mnist_mlp_opb_beta1_scale12,2,l2,0.5,0.9650000333786011
mnist_mlp_opb_beta1_scale12,2,l2,1,0.9310000538825989
mnist_mlp_opb_beta1_scale12,2,l2,1.5,0.8700000643730164
mnist_mlp_opb_beta1_scale12,2,l2,2,0.737000048160553
mnist_mlp_opb_beta1_scale12,2,l2,2.5,0.5490000247955322
mnist_mlp_opb_beta1_scale12,2,l2,3,0.40300002694129944
mnist_mlp_opb_beta1_scale12,3,none,0,0.984000027179718
mnist_mlp_opb_beta1_scale12,3,linf,0.05,0.9110000729560852
mnist_mlp_opb_beta1_scale12,3,linf,0.1,0.6040000319480896
mnist_mlp_opb_beta1_scale12,3,linf,0.15,0.3320000171661377
mnist_mlp_opb_beta1_scale12,3,linf,0.2,0.16500000655651093
